complaint_text,officer_behaviour,amount
"Dabaav mein diya INR 8,000 Revenue office mein, section officer bilkul nahi dara",Bad,1500
"Files cleared in two days at BESCOM, head clerk was genuinely helpful",Good,0
"Sad but pay maade INR 500 Taluk office nalli, system heege ide 😞",Bad,7000
"What else could I do — paid INR 2,500 at Police station and tried to move on 😞",Bad,3000
"officer ne seedha INR 1,500 magitla Revenue office madhye, nahi tar reject asa sangitla",Bad,12000
"Paid INR 500 at Income tax office under force, filing a complaint with vigilance now",Bad,800
"duty officer screamed at me when I refused, then demanded INR 4,000 again loudly",Bad,1500
"staff member direct ga INR 10,000 adige Taluk office lo, lekapote reject antaadu",Bad,40000
"Work aaytu Police station nalli bega bega, head clerk tumba helpful aagidru",Good,0
"Ration PDS office la nalla anubhavam, desk officer paisa kettaangale illai ✅",Good,0
Pathetic delay,Bad,0
"Baar baar ya uthya ya supervisor bol raha Building permit office madhye, thaklo ahe 😤",Bad,0
"INR 500 swayamaa kuduthen BESCOM la, system ippadi taan irukku 😞",Bad,2500
"Honest duty officer at Employment exchange, I was ready to bribe but never needed to",Good,0
"Naa documents Drug control department lo bega process ayyayi, duty officer helpful ga unnaaru",Good,0
"Went to Education department expecting to pay bribe, left without paying anything — great 😊",Good,0
"Ek rupaya nahi dena tha par INR 25,000 Revenue office mein dena pad gaya finally",Bad,500
"officer directly INR 3,000 kela maade Revenue office nalli, illadre reject anthu",Bad,50000
"Mediocre service at Social welfare office, head clerk was indifferent throughout",Neutral,3000
"What else could I do — paid INR 1,200 at Collectorate and tried to move on 😞",Bad,12000
"Paid INR 6,000 at Labour department under direct threat, will file RTI complaint now",Bad,15000
"head clerk at Education department said bring INR 30,000 tomorrow or forget the entire application",Bad,6000
"Average service at Municipal office, section officer was neither corrupt nor efficient",Neutral,0
Trade licence office ke officer ne broker ko bhaga diya aur khud help ki — respect 🙏,Good,0
"Forced ga INR 30,000 teesukunnaru Panchayat office lo, complaint chestanu 😡",Bad,500
"The staff member kept my file hostage until I paid INR 3,000 at Trade licence office",Bad,1200
"Forced ah INR 6,000 vanginaanga Social welfare office la, complaint panren definitely 😡",Bad,10000
"Education department inspector straight ah pannichitaanga, extra paisa illai bilkul",Good,0
"Kotte INR 10,000 BESCOM nalli, illadidre naann kaaj aage irthirlilla",Bad,1000
Paisa kodo illadidre docs lost aagthave anthu section officer direct aagi heltidru Trade licence office nalli,Bad,15000
"clerk ne seedha INR 1,200 magitla Education department madhye, nahi tar reject asa sangitla",Bad,800
"BESCOM ke inspector ne honestly explain kiya sab kuch, impressed hua",Good,0
"Was told to pay INR 30,000 at Drug control department or my application would be rejected",Bad,800
"Kaaj aagalla Passport office nalli, naale baa anthaare, frustrating tumba",Bad,0
"Social welfare office madhye khup chan duty officer hota, paisa magitla nahi 🙏",Good,0
"Average service at BBMP, staff member was neither corrupt nor efficient",Neutral,0
"desk officer screamed at me when I refused, then demanded INR 2,000 again loudly",Bad,25000
"Had no option but to pay INR 3,000 at Police station — section officer made that very clear",Bad,1000
Health department clerk deserves appreciation — zero corruption witnessed,Good,0
"INR 15,000 extorted at Social welfare office in the name of processing fees — shameless 😡",Bad,3000
"duty officer screamed at me when I refused, then demanded INR 30,000 again loudly",Bad,4000
"Was told to pay INR 6,000 at BESCOM or my application would be rejected",Bad,35000
"Collectorate la romba nalla section officer irundhaaru, paisa kettaangale illai 🙏",Good,0
"Dabaav mein diya INR 500 Income tax office mein, clerk bilkul nahi dara",Bad,40000
"Naane kodthe INR 18,000 Collectorate nalli, kela maadlilla andre file move aagilla",Bad,1000
section officer at Passport office declined when I tried to offer extra money — respected that 🙏,Good,0
The clerk explained the whole procedure clearly without hinting at anything,Good,0
The supervisor at Taluk office helped me fix the rejection reason and resubmit for free,Good,0
"officer nodi sumnirthare Panchayat office nalli, kela maadidre naale baa anthaare",Bad,0
"Average experience at Education department, section officer processed my file eventually",Neutral,0
"Ek rupaya nahi dena tha par INR 4,000 Income tax office mein dena pad gaya finally",Bad,1500
"Had no option but to pay INR 50,000 at Forest department — clerk made that very clear",Bad,500
"clerk nodi nakkidhu Land registration nalli, yenu kela maadlilla — satisfied",Good,0
desk officer barely looked at me at Panchayat office — clearly waiting for cash,Bad,0
Frustrated with BBMP — desk officer is clearly waiting but won't say for what,Bad,0
"Was told to pay INR 15,000 at Revenue office or my application would be rejected",Bad,8000
"Dila INR 30,000 Ration PDS office madhye khud, duty officer ne ishaara kela hota",Bad,45000
Junior inspector at Labour department told me to meet someone who can help — hint clear,Bad,0
"Hint kottidru indirectly Forest department nalli, dalal hatra hogi anthu heltidru",Bad,0
"Dila INR 2,500 Water board madhye khud, inspector ne ishaara kela hota",Bad,1500
The staff member at Water board pointed me to a broker outside — I understood the hint,Bad,0
Municipal office is a black hole for applications — staff member doesn't even make eye contact,Bad,0
clerk at GST office said bring INR 800 tomorrow or forget the entire application,Bad,7000
staff member at Passport office declined when I tried to offer extra money — respected that 🙏,Good,0
"Cash demand of INR 1,000 made openly at RTO in front of other people",Bad,3000
"Hint purinjuchu, INR 5,000 kuduthen RTO la, velai seekirama achu",Bad,5000
"desk officer naanu nodi nakkidru Building permit office nalli, hint aagtha itha directly helbilla",Bad,0
"Khullam khulla INR 5,000 manga Municipal office mein, koi dar nahi tha clerk ko",Bad,40000
desk officer at Education department was polite but the process was slow and confusing,Neutral,0
"Everything was transparent at Police station, senior officer did not delay my file at all",Good,0
officer at Passport office kept giving hints about facilitation but never said directly,Bad,0
"Okay experience at BESCOM, section officer was busy and barely acknowledged me",Neutral,0
"INR 15,000 swayamaa kuduthen BESCOM la, system ippadi taan irukku 😞",Bad,4000
"INR 2,000 voluntarily kotte RTO nalli, ashtu kashta padrodu beda anthu 😞",Bad,3000
"duty officer hint kuduttaaru BBMP la, direct ah sollavillai — purinjuchu",Bad,0
"Was told to pay INR 30,000 at Education department or my application would be rejected",Bad,5000
"supervisor at Ration PDS office said bring INR 3,000 tomorrow or forget the entire application",Bad,18000
"section officer direct ga INR 8,000 adige GST office lo, lekapote reject antaadu",Bad,2000
Collectorate experience was average — head clerk did the job but nothing more,Neutral,1000
"Had no option but to pay INR 10,000 at Ration PDS office — duty officer made that very clear",Bad,1200
"3 hafte ho gaye Labour department mein, koi bhi file nahi pakad raha",Bad,0
"supervisor okay aagidru BESCOM nalli, aadre helpful alla bilkul",Neutral,0
"Forced ga INR 500 teesukunnaru Land registration lo, complaint chestanu 😡",Bad,18000
Waste of time,Bad,0
"Revenue office nalli sakkath clean experience, head clerk honest aagidru",Good,0
"head clerk ne seedha kaha INR 20,000 lao BBMP mein warna application cancel",Bad,12000
The officer at Fire NOC office was okay — not rude but not helpful either,Neutral,0
"clerk ne Taluk office mein bina kuch liye kaam kar diya, yaar yeh rare hai",Good,0
"Directly cash kettaanganu BESCOM la, INR 8,000 kuduthen",Bad,35000
My head clerk at Taluk office was the first honest government officer I have met,Good,0
"GST office madhye khup chan section officer hota, paisa magitla nahi 🙏",Good,0
BBMP experience was average — inspector did the job but nothing more,Neutral,0
desk officer at Employment exchange was polite but the process was slow and confusing,Neutral,0
"Cash demand ki duty officer ne Health department mein — INR 3,000 le liya bina receipt ke",Bad,1500
"Forced to pay INR 50,000 at Land registration, desk officer had no fear of CCTV at all",Bad,45000
"inspector theek hota Passport office madhye, na helpful na obstructive",Neutral,3000
"Health department supervisor did not delay even once, what a refreshing experience",Good,0
"supervisor directly INR 2,000 kela maade Ration PDS office nalli, illadre reject anthu",Bad,10000
Work got done at Water board eventually but took way longer than needed,Neutral,1000
"Mediocre service at Social welfare office, senior officer was indifferent throughout",Neutral,0
head clerk barely looked at me at Social welfare office — clearly waiting for cash,Bad,0
"The inspector at Fire NOC office used a middleman to collect INR 4,000 from me",Bad,2000
"Gave INR 20,000 because the waiting game at Fire NOC office was clearly never ending",Bad,15000
"INR 800 swayamga ichhanu Forest department lo, system ila undi 😞",Bad,800
"supervisor at Employment exchange said bring INR 6,000 tomorrow or forget the entire application",Bad,10000
"head clerk ne Revenue office mein bina kuch liye kaam kar diya, yaar yeh rare hai",Good,0
"Straight aagi heltidru INR 2,500 kodo Revenue office nalli, illadre file close aagthade",Bad,3000
"BBMP ke inspector ne honestly explain kiya sab kuch, impressed hua",Good,0
"head clerk nodi nakkidhu Panchayat office nalli, yenu kela maadlilla — satisfied",Good,0
"File kaadu Fire NOC office lo, head clerk kaaran cheppaleda — frustrated ayyanu 😤",Bad,0
The inspector at Revenue office turned away my agent and helped me directly instead,Good,0
"Paid INR 5,000 at Fire NOC office under direct threat, will file RTI complaint now",Bad,2500
"Bribe of INR 30,000 demanded at Fire NOC office openly in cash, no receipt was given",Bad,1500
"Gave INR 2,500 at Fire NOC office because I cannot keep taking leaves from work",Bad,3000
"staff member at Panchayat office said INR 2,000 is the processing charge — it is not official",Bad,20000
"Forced payment INR 500 Municipal office madhye, duty officer la kaahi bhiti nahi 😡",Bad,7000
"Surprisingly smooth experience at BBMP, duty officer was very professional",Good,0
The supervisor at BBMP made excuses about missing signatures every visit,Bad,0
"officer at Forest department said INR 8,000 is the processing charge — it is not official",Bad,15000
"Dhamki deta INR 50,000 ghetla Drug control department madhye, chukeeche ahe",Bad,2500
"inspector okay aagidru Fire NOC office nalli, aadre helpful alla bilkul",Neutral,0
The head clerk at Trade licence office handled my case after I followed up five times,Neutral,800
Paisa kodo illadidre docs lost aagthave anthu officer direct aagi heltidru Collectorate nalli,Bad,2500
staff member barely looked at me at Panchayat office — clearly waiting for cash,Bad,0
"Velai nadakkalai Police station la, enna reason nu sollavillai duty officer 😤",Bad,0
"INR 25,000 kuduthen RTO la, illati velai aagaathu nu therinjuchu",Bad,12000
"Passport office senior officer did not delay even once, what a refreshing experience",Good,0
"Bribe of INR 1,000 demanded at Employment exchange openly in cash, no receipt was given",Bad,800
"Office chakkar haaktidini Collectorate ge, aadre yaaru mathaadalla yaar",Bad,0
"Forced to pay INR 15,000 at BESCOM, officer had no fear of CCTV at all",Bad,1200
The section officer at Trade licence office was slow but at least no bribe was demanded,Neutral,0
"Bribe of INR 40,000 demanded at Labour department openly in cash, no receipt was given",Bad,45000
"section officer okay ah irundhaaru Passport office la, romba helpful illai but",Neutral,1200
"The head clerk was punctual, polite, and handled my case without any drama",Good,0
"Gave INR 6,000 at Drug control department after supervisor rejected my correct documents twice",Bad,18000
Great work,Good,0
"INR 25,000 kela maadidru openly Panchayat office nalli, yenu lajja illa avrige",Bad,35000
"head clerk naanu nodi nakkidru BBMP nalli, hint aagtha itha directly helbilla",Bad,0
"Forced aagi INR 6,000 thogolidru Social welfare office nalli, complaint kodthini 😡",Bad,12000
Achha tha 😊,Good,0
"Was told to pay INR 1,000 at Forest department or my application would be rejected",Bad,1200
"head clerk hint ichhaaru Employment exchange lo, direct ga cheppaledu — artham ayyindi",Bad,0
"Average experience at Education department, officer processed my file eventually",Neutral,2500
Paisa kodo illadidre docs lost aagthave anthu supervisor direct aagi heltidru Revenue office nalli,Bad,10000
The clerk said submit documents and come in 2 days — and it was actually done,Good,0
"Told me flat out at Passport office — pay INR 4,000 or get out of this office now",Bad,6000
"INR 12,000 ki demand khullam khulla Labour department mein, koi sharam nahi 😡",Bad,5000
The duty officer at RTO used a middleman to collect INR 800 from me,Bad,5000
The supervisor at BESCOM was approachable and finished my work without any hint,Good,0
"staff member theek tha Trade licence office mein, na helpful na obstructive",Neutral,1500
"Panchayat office ke bahar dalal khade hain, inspector ne hi bheja lagta hai",Bad,0
"Mediocre service at Labour department, inspector was indifferent throughout",Neutral,0
Paid INR 500 and finally left Trade licence office — disgusted and angry about this whole thing,Bad,30000
Cash demand of INR 800 made openly at Panchayat office in front of other people,Bad,7000
"section officer ishara dila BESCOM madhye, seedha nahi bolta — kalay mala",Bad,0
"The head clerk at Taluk office used a middleman to collect INR 10,000 from me",Bad,500
Rare honest head clerk mila Fire NOC office mein — salute karta hoon 🫡,Good,0
Paisa illai,Good,0
No shortcuts no bribes — Labour department completed my work the right way,Good,0
"inspector ne seedha INR 2,000 magitla Forest department madhye, nahi tar reject asa sangitla",Bad,800
"Gave INR 25,000 at Drug control department because I cannot keep taking leaves from work",Bad,25000
"Paid INR 3,000 and work done in 10 minutes at Social welfare office — that says everything",Bad,2500
"Hint nodi naane pay maade INR 12,000 Panchayat office ge, baere option irliilla",Bad,40000
"Hint purinjuchu, INR 800 kuduthen RTO la, velai seekirama achu",Bad,6000
"Everything was transparent at Taluk office, head clerk did not delay my file at all",Good,0
"senior officer seedha INR 1,200 kettikaattu Labour department la, illati reject pannuven nu sonnaar",Bad,28000
"duty officer hint ichhaaru Employment exchange lo, direct ga cheppaledu — artham ayyindi",Bad,0
"Work aaytu Land registration nalli bega bega, desk officer tumba helpful aagidru",Good,0
Rare clean governance — Collectorate officer did the work on time 🙏,Good,0
"Forced payment INR 2,500 Panchayat office madhye, supervisor la kaahi bhiti nahi 😡",Bad,6000
"Ek rupaya nahi dena tha par INR 2,000 Collectorate mein dena pad gaya finally",Bad,1000
"INR 18,000 voluntarily kotte Forest department nalli, ashtu kashta padrodu beda anthu 😞",Bad,2000
"INR 8,000 swayamaa kuduthen Health department la, system ippadi taan irukku 😞",Bad,50000
"clerk ne seedha INR 1,000 magitla Trade licence office madhye, nahi tar reject asa sangitla",Bad,1200
The clerk at BESCOM pointed me to a broker outside — I understood the hint,Bad,0
"Paid INR 18,000 and finally left RTO — disgusted and angry about this whole thing",Bad,1500
Frustrated with Education department — head clerk is clearly waiting but won't say for what,Bad,0
"Paid INR 10,000 at Taluk office under direct threat, will file RTI complaint now",Bad,12000
"Naachaar ah INR 30,000 kuduthen Taluk office la, veru vazhi illai",Bad,8000
"INR 3,000 demanded before stamp at Police station — this is not how it should work",Bad,6000
"duty officer nodi nakkidhu RTO nalli, yenu kela maadlilla — satisfied",Good,0
"Average experience at Collectorate, section officer processed my file eventually",Neutral,3000
"Okay experience at Employment exchange, supervisor was busy and barely acknowledged me",Neutral,0
Officer at Social welfare office was prompt and processed my request without hesitation,Good,0
"Everything was transparent at Police station, staff member did not delay my file at all",Good,0
"Naachaar ah INR 25,000 kuduthen Building permit office la, veru vazhi illai",Bad,4000
The desk officer at Trade licence office pointed me to a broker outside — I understood the hint,Bad,0
"supervisor ne Drug control department mein file rook ke rakhi jab tak INR 50,000 nahi diye",Bad,6000
The clerk at Labour department was approachable and finished my work without any hint,Good,0
The head clerk at GST office helped me fix the rejection reason and resubmit for free,Good,0
"INR 10,000 diye Income tax office mein apni marzi se, warna aur mahine nikal jaate",Bad,25000
Visited Collectorate — head clerk was honest and work was done quickly,Good,0
"Channagi explain maadidru BESCOM nalli, naanu satisfied",Good,0
"officer at Trade licence office said pay INR 50,000 or come back in six months",Bad,1500
"INR 800 diye Passport office mein apni marzi se, warna aur mahine nikal jaate",Bad,1200
"Average service Police station mein, follow up karna pada bahut zyada",Neutral,0
"Bribe of INR 2,500 demanded at Fire NOC office openly in cash, no receipt was given",Bad,25000
"Forced ga INR 2,500 teesukunnaru Municipal office lo, complaint chestanu 😡",Bad,50000
"INR 1,000 dile naachaar hoton Land registration la, kahi paryay navhata 😞",Bad,2500
The senior officer at BBMP pointed me to a broker outside — I understood the hint,Bad,0
officer barely looked at me at Passport office — clearly waiting for cash,Bad,0
"Forced ah INR 1,000 vanginaanga Trade licence office la, complaint panren definitely 😡",Bad,1000
"Social welfare office senior officer did not delay even once, what a refreshing experience",Good,0
"Seedha kaam hua BESCOM mein, koi agent nahi chahiye tha",Good,0
"Forced aagi INR 1,500 thogolidru Drug control department nalli, complaint kodthini 😡",Bad,25000
"Directly cash kettaanganu Social welfare office la, INR 12,000 kuduthen",Bad,1500
"3 murai vanthen Education department la, appuram taan velai achu finally",Neutral,500
The supervisor at Employment exchange was okay — not rude but not helpful either,Neutral,0
supervisor at Ration PDS office referred me to senior for a completely simple request — stalling,Bad,0
"officer at Labour department pointed at the drawer — I placed INR 15,000 inside",Bad,1000
"Mediocre service at Building permit office, supervisor was indifferent throughout",Neutral,2000
"Kotte INR 5,000 Municipal office nalli, illadidre naann kaaj aage irthirlilla",Bad,30000
"Kya karein, INR 2,000 de ke nipta liya Social welfare office mein 😞",Bad,500
Broker kitta poi paaru nu duty officer sonna maari irukku Building permit office la,Bad,0
The inspector at Fire NOC office helped me fix the rejection reason and resubmit for free,Good,0
"Baar baar ya uthya ya inspector bol raha RTO madhye, thaklo ahe 😤",Bad,0
Health department clerk said system is down for three weeks in a row — not buying it,Bad,0
"INR 8,000 kuduthen Building permit office la, illati velai aagaathu nu therinjuchu",Bad,2000
"duty officer at Income tax office pointed at the drawer — I placed INR 1,200 inside",Bad,2500
"Paid INR 5,000 at Income tax office under force, filing a complaint with vigilance now",Bad,800
"The inspector at Labour department used a middleman to collect INR 6,000 from me",Bad,12000
"File yellide gottagalla Health department nalli, head clerk naale baa anthaare 😤",Bad,0
"Velai nadakkalai Revenue office la, enna reason nu sollavillai staff member 😤",Bad,0
"INR 30,000 ichhaanu Income tax office lo, lekapote pani avvaadu ani telisindi",Bad,3000
"clerk screamed at me when I refused, then demanded INR 30,000 again loudly",Bad,1500
"Dhamki deke INR 50,000 le liya Collectorate mein, yeh sahi nahi hai 😡",Bad,45000
Visited Building permit office — officer was honest and work was done quickly,Good,0
Gave INR 500 at Forest department after duty officer rejected my correct documents twice,Bad,25000
"inspector direct ga INR 2,000 adige Drug control department lo, lekapote reject antaadu",Bad,12000
"duty officer directly INR 800 kela maade RTO nalli, illadre reject anthu",Bad,8000
supervisor at GST office said INR 800 is the processing charge — it is not official,Bad,15000
Officer Building permit office nalli tumba helpful aagidru yenu extra kela maadlilla,Good,0
"Okay experience at Social welfare office, clerk was busy and barely acknowledged me",Neutral,0
"head clerk ne Municipal office mein bina kuch liye kaam kar diya, yaar yeh rare hai",Good,0
"Bega aaytu Education department nalli, yenu hassle illa, head clerk decent aagidru",Good,0
Gave INR 800 at Taluk office after section officer rejected my correct documents twice,Bad,2500
"duty officer ne seedha INR 800 magitla Social welfare office madhye, nahi tar reject asa sangitla",Bad,50000
"Paid INR 10,000 at Police station under force, filing a complaint with vigilance now",Bad,45000
"officer screamed at me when I refused, then demanded INR 5,000 again loudly",Bad,1000
"officer theek tha RTO mein, na helpful na obstructive",Neutral,0
"Clean process at Panchayat office, every single step was above board and transparent",Good,0
"head clerk at Drug control department was bold enough to demand INR 4,000 with cameras watching",Bad,3000
"staff member ne seedha INR 12,000 magitla Labour department madhye, nahi tar reject asa sangitla",Bad,10000
The supervisor at Land registration turned away my agent and helped me directly instead,Good,0
"Chalta hai experience Trade licence office mein, kaam toh hua finally yaar",Neutral,0
Junior senior officer at Water board told me to meet someone who can help — hint clear,Bad,0
"The head clerk kept my file hostage until I paid INR 1,200 at Ration PDS office",Bad,18000
"Dila INR 800 Education department madhye khud, senior officer ne ishaara kela hota",Bad,45000
"Paid INR 2,500 at RTO under direct threat, will file RTI complaint now",Bad,30000
"Files cleared in two days at Education department, staff member was genuinely helpful",Good,0
staff member at Panchayat office said bring all originals again — they already have them,Bad,0
"Demanded INR 1,500 at Building permit office before even looking at my documents",Bad,1000
INR 500 extorted at Revenue office in the name of processing fees — shameless 😡,Bad,15000
"The section officer kept my file hostage until I paid INR 8,000 at Trade licence office",Bad,1200
"Land registration la nalla anubhavam, staff member paisa kettaangale illai ✅",Good,0
The officer at Police station handled everything without asking for a single rupee,Good,0
"Naane kodthe INR 2,500 Ration PDS office nalli, kela maadlilla andre file move aagilla",Bad,12000
"File stuck at Water board for over a month, supervisor gives a new excuse every visit",Bad,0
"desk officer at Passport office said INR 10,000 is the processing charge — it is not official",Bad,1500
"Gave INR 30,000 at Ration PDS office because I cannot keep taking leaves from work",Bad,15000
"Police station officer did not delay even once, what a refreshing experience",Good,0
"duty officer naanu nodi nakkidru Drug control department nalli, hint aagtha itha directly helbilla",Bad,0
"INR 2,500 kuduthen Drug control department la, illati velai aagaathu nu therinjuchu",Bad,2500
"3 mahine ho gaye Drug control department mein, application ka koi pata nahi",Bad,0
"Hint kottidru indirectly Health department nalli, dalal hatra hogi anthu heltidru",Bad,0
"INR 3,000 swayamaa kuduthen RTO la, system ippadi taan irukku 😞",Bad,7000
Directly kettikaattu,Bad,20000
"INR 18,000 kela maadidru openly Passport office nalli, yenu lajja illa avrige",Bad,45000
"desk officer okay ah irundhaaru Ration PDS office la, romba helpful illai but",Neutral,500
"INR 30,000 demanded before stamp at Social welfare office — this is not how it should work",Bad,6000
"Fire NOC office la velai achu aana romba time eduthuchu, kaaran sollala desk officer",Neutral,0
Visited Land registration — section officer was honest and work was done quickly,Good,0
"INR 30,000 kela maadidru openly Municipal office nalli, yenu lajja illa avrige",Bad,3000
First time sarkari office la ipadi nalla experience Forest department la — thanks,Good,0
"Dhamki deta INR 3,000 ghetla Panchayat office madhye, chukeeche ahe",Bad,500
Khushi aadhe,Good,0
"head clerk Police station mein baar baar kal aao bol raha hai, kaam nahi ho raha 😤",Bad,0
"senior officer at Fire NOC office was bold enough to demand INR 1,000 with cameras watching",Bad,4000
"BBMP nalli sakkath clean experience, staff member honest aagidru",Good,0
"Directly cash kettaanganu Building permit office la, INR 4,000 kuduthen",Bad,25000
"Gave INR 10,000 at Taluk office after inspector rejected my correct documents twice",Bad,3000
"Cash demand of INR 12,000 made openly at Forest department in front of other people",Bad,2000
"Kya karein, INR 1,200 de ke nipta liya Education department mein 😞",Bad,3000
"Ek rupaya nahi dena tha par INR 18,000 Municipal office mein dena pad gaya finally",Bad,500
"Hint artham chesukoni INR 25,000 ichhanu GST office lo, pani ayyindi",Bad,30000
"INR 2,000 kuduthen Municipal office la, illati velai aagaathu nu therinjuchu",Bad,2000
"Forced ga INR 4,000 teesukunnaru Education department lo, complaint chestanu 😡",Bad,6000
"Honest clerk at Water board, I was ready to bribe but never needed to",Good,0
"Visited Water board four times, file hasn't moved, no reason ever given",Bad,0
"Dhamki deta INR 18,000 ghetla GST office madhye, chukeeche ahe",Bad,500
"INR 50,000 diye Revenue office mein apni marzi se, warna aur mahine nikal jaate",Bad,4000
"Forced to pay INR 18,000 at Drug control department, senior officer had no fear of CCTV at all",Bad,1500
"section officer naanu nodi nakkidru Social welfare office nalli, hint aagtha itha directly helbilla",Bad,0
"Told me flat out at Social welfare office — pay INR 3,000 or get out of this office now",Bad,2500
"Cash demand ki section officer ne Education department mein — INR 20,000 le liya bina receipt ke",Bad,30000
"clerk at Income tax office pointed at the drawer — I placed INR 1,500 inside",Bad,500
"section officer nodi sumnirthare Panchayat office nalli, kela maadidre naale baa anthaare",Bad,0
"supervisor seedha INR 20,000 kettikaattu Municipal office la, illati reject pannuven nu sonnaar",Bad,25000
"Honest senior officer at Trade licence office, I was ready to bribe but never needed to",Good,0
"INR 18,000 dile naachaar hoton BBMP la, kahi paryay navhata 😞",Bad,500
"Dhamki deke INR 5,000 le liya Social welfare office mein, yeh sahi nahi hai 😡",Bad,3000
head clerk barely looked at me at Trade licence office — clearly waiting for cash,Bad,0
"Average service at BBMP, senior officer was neither corrupt nor efficient",Neutral,2000
"Social welfare office supervisor broker ni door chesaaru, swayamga help chesaaru 🙏",Good,0
"inspector ne seedha INR 800 magitla BBMP madhye, nahi tar reject asa sangitla",Bad,15000
Paisa kodo illadidre docs lost aagthave anthu officer direct aagi heltidru BBMP nalli,Bad,800
"Surprisingly smooth experience at Panchayat office, duty officer was very professional",Good,0
"Hint artham chesukoni INR 2,500 ichhanu BBMP lo, pani ayyindi",Bad,30000
"INR 1,200 ichhaanu Revenue office lo, lekapote pani avvaadu ani telisindi",Bad,5000
section officer barely looked at me at Health department — clearly waiting for cash,Bad,0
"Forced to pay INR 40,000 at Police station, inspector had no fear of CCTV at all",Bad,5000
"inspector hint kuduttaaru Employment exchange la, direct ah sollavillai — purinjuchu",Bad,0
"Channagi explain maadidru BBMP nalli, naanu satisfied",Good,0
"Manchiga chesaaru Social welfare office lo, seekaragaa pani chesaaru, satisfied",Good,0
Rare clean governance — BBMP staff member did the work on time 🙏,Good,0
"officer at Land registration was bold enough to demand INR 15,000 with cameras watching",Bad,1200
"Hint artham chesukoni INR 1,200 ichhanu Social welfare office lo, pani ayyindi",Bad,1500
"duty officer cash INR 6,000 thagolli anthu Panchayat office nalli, bayam haakidru",Bad,1200
"Gave INR 40,000 at Fire NOC office after officer rejected my correct documents twice",Bad,20000
Junior head clerk at Labour department told me to meet someone who can help — hint clear,Bad,0
"Told me flat out at Police station — pay INR 8,000 or get out of this office now",Bad,6000
"Passport office section officer did not delay even once, what a refreshing experience",Good,0
supervisor at Ration PDS office said bring INR 800 tomorrow or forget the entire application,Bad,2000
"head clerk at Fire NOC office pointed at the drawer — I placed INR 1,200 inside",Bad,45000
"desk officer at Labour department was bold enough to demand INR 50,000 with cameras watching",Bad,8000
"3 vaaram ayyindi Education department ki, progress ledu, suspicious ga undi",Bad,0
Deliberate delay confirmed,Bad,0
"Kya karein, INR 2,500 de ke nipta liya Police station mein 😞",Bad,8000
"Gave INR 1,000 on my own at Panchayat office after months of completely deliberate delay",Bad,6000
Honest hota,Good,0
"clerk at Trade licence office said INR 1,500 is the processing charge — it is not official",Bad,1200
"Education department lo chaala mandi desk officer, paniki vachaaru, paisa adagaledu 🙏",Good,0
senior officer at Passport office said technical issue every visit — same excuse for 2 months,Bad,0
"Naane kodthe INR 8,000 Employment exchange nalli, kela maadlilla andre file move aagilla",Bad,2000
